№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,,
1904,"ЛИОТОН 1000®
(Lioton 1000)",heparin*,"Гель 30 г, 50 г, 100 г (тубы)",Италия,"A.Menarini Industrie Farmaceutiche Riunite S.r.l., Италия произведено: A.Menarini Manufacturing Logistics and Services S.r.l.",Антикоагулянт,C05BA03,DV/X 04363/05/18,11.05.18 08.06.23,,без рецепта,,,
3146,"СПАЗМОМЕН®
(Spazmomen)",otilonium bromide,"Таблетки, покрытые плёночной оболочкой 40 мг N30 (3x10) (блистеры)",Германия,"A.Menarini Industrie Farmaceutiche Riunite S.r.l., Италия произведено: Berlin-Chemie AG (Menarini Group)",Спазмолитическое средство,А03АВ06,DV/X 02445/11/16,18.11.16 30.11.21,,по рецепту,,,
3528,"ФАСТУМ® ГЕЛЬ
(Fastum® gel)",ketoprofen,"Гель 2,5 г/100 г 30 г, 50 г, 100 г (тубы)",Италия,"A.Menarini Industrie Farmaceutiche Riunite S.r.L., Италия, А. Menarini Manufacturing Logistics and Services S.r.l., Италия",Нестероидные противовоспалительные препараты для местного применения,M02AA10,DV/X 00481/06/15,30/05/25,,Без рецепта,,,
4044,"ЭССЕНЦИАЛЕ® ФОРТЕ Н
(Essensiale Forte N)",essential phospholipids*,"Капсулы N30 (3x10), N90 (9x10) (блистеры)",Германия,A.Nattermann & Cie. GmbH,Гепатопротектор,A05C,DV/X 02927/04/17,21.04.17 27.04.22,,по рецепту,,,
1743,"ЛАЗОЛВАН®
(Lazolvan)",ambroxol,"Раствор для приема внутрь и ингаляций 7,5 мг/мл 100 мл (флаконы c мерным стаканчиком)",Италия,A.Nattermann & Cie. GmbH произведено: Istituto de Angeli S.r.l,Муколитическое средство,R05CB06,DV/X 05346/11/18,20.11.18 18.11.24,введены изменения: 05.04.25,без рецепта,,,
1744,"ЛАЗОЛВАН®
(Lazolvan)",ambroxol,Таблетки 30 мг N20 (2х10) (блистеры),Франция,"A.Nattermann & Cie. GmbH, Германия произведено: Delpharm Reims",Отхаркивающее средство,R05CB06,DV/X 10192/10/22,28/10/22,введены изменения: 20.12.24,без рецепта,,,
1745,"Лазолван®
(Lazolvan)",ambroxol,"Сироп 15 мг/5 мл, 30 мг/5 мл 100 мл №1 (флаконы)",Италия,"A.Nattermann & Cie. GmbH, Германия произведено: Opella Healthcare Italy S.r.l.,",Отхаркивающее средство,R05CB06,DV/X 10317/12/22,21.12.22,введены изменения: 16.07.25,без рецепта,,,
1347,"ИНОСЕДА
(Inoseda)",inosine pranobex*,"Таблетки 500 мг N20 (2х10), N50 (5х10) (блистеры)",Турция,A.S. World Medicine Ilac San. ve Tic,Противовирусное средство для системного применения. Противовирусное средство прямого действия,J05AX05,DV/X 10607/04/24,18/04/24,,по рецепту,,,
1206,"ДЮСПАТАЛИН®
(Dyuspatalin)",mebeverine,"Таблетки, покрытые оболочкой 135 мг N15 (1х15), N30 (2x15) (блистеры)",Франция,"Abbott Healthcare Products B.V., Нидерланды произведено: Mylan Laboratories SAS",Спазмолитическое средство,А03АА04,DV/X 03483/08/17,18.08.17 28.10.22,,по рецепту,,,
1685,"КРЕОН® 10000/КРЕОН® 25000
(Kreon® 10000/Kreon® 25000)",pancreatin,"Капсулы с кишечнорастворимыми гранулами 10000 ЕД, 25000 ЕД N20 (2х10) (блистеры), N50 (флаконы)",Германия,Abbott Laboratories GmbH,"Препарат, улучшающий пищеварение, включая ферменты. Полиферментный препарат",А09АА02,DV/X 06589/07/19,23.07.19 30.09.24,,без рецепта,,,
1373,"ИНФЛЮВАК®
(Inflyuvak)",,"Суспензия для внутримышечного и подкожного введения 0,5 мл N1 (предварительно заполненные шприцы)",Нидерланды,Abbott Laboratories GmbH произведено: Abbott Biologicals B.V,Вакцина,J07BB02,DV/X 01823/06/16,07.06.16 11.10.21,введены изменения: 01.07.25,по рецепту,,,
1135,"ДИЦЕТЕЛ®
(Disetel)",pinaverium bromide,"Таблетки, покрытые плёночной оболочкой 50 мг, 100 мг N20 (1x20) (блистеры)",Франция,"Abbott Laboratories GmbH, Германия произведено: Mylan Laboratories SAS",Спазмолитическое средство,A03AX04,DV/X 02769/03/17,06.03.17 13.05.22,,по рецепту,,,
1208,"ДЮФАЛАК® MAMA & BABY
(Dyufalak Mama & Baby)",lactulose,Раствор для приема внутрь 667 мг/мл 200 мл N1 (флаконы с мерным стаканчиком),Нидерланды,"Abbott Laboratories GmbH, Швейцария произведено: Abbott Biologicals B.V.",Слабительное средство,A06AD11,DV/X 03719/11/17,21.11.17 14.11.22,введены изменения: 28.07.23,по рецепту,,,
