№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,
1,"9 МЕСЯЦЕВ ФОЛИЕВАЯ КИСЛОТА
(9 Monts folic acid)",folic acid,"Таблетки, покрытые пленочной оболочкой 400 мкг N30 (3х10), N90 (9х10) упаковки контурные ячейковые",Россия,"Валента Фарм, АО",Витамин,B03BB01,DV/X 08626/02/21,12/02/21,,без рецепта,,
2,"JETIX® КСИЛО
(Jetix Ksilo)",xylometazoline,"Капли назальные 0,05%, 0,1% 10 мл (флакон - капельницы)",Казахстан,"Dosfarm, ТОО",Средство для лечения заболеваний ЛОР-органов,R01AA07,DV/X 08592/02/21,12/02/21,,без рецепта,,
3,"JETIX® КСИЛО
(Jetix ksilo)",xylometazoline,"Спрей назальный с ментолом и эвкалиптом 0,1% 10 мл (флаконы с крышкой распылителем)",Казахстан,"Dosfarm, ТОО",Средство для лечения заболеваний ЛОР-органов,R01AA07,DV/X 08595/02/21,12/02/21,,без рецепта,,
4,"JETIX® КСИЛО
(Jetix ksilo)",xylometazoline,"Спрей назальный 0,1% 10 мл (флаконы с крышкой капельницей)",Казахстан,"Dosfarm, ТОО",Средство для лечения заболеваний ЛОР-органов,R01AA07,DV/X 08610/02/21,12/02/21,,без рецепта,,
5,"JETIX® ОКСИ
(Jetix®Oxy)",oxymetazoline,"Спрей назальный 0,05% 10 мл (флаконы c дозирующим устройством)",Казахстан,"Dosfarm, ТОО",Средство для лечения заболеваний ЛОР-органов,R01AA07,DV/X 08782/04/21,09/04/21,,без рецепта,,
6,"JETIX®ОКСИ
(Jetix®Oxy)",oxymetazoline,"Капли назальные 0,01%, 0,025% 10 мл N1 (флакон-капельница)",Казахстан,"Dosfarm, ТОО",Средство для лечения заболеваний ЛОР-органов,R01AA05,DV/X 03500/09/17,08.09.17 20.09.22,,без рецепта,,
7,"L - ЛИЗАЦИН
(L- lysatsin)",L-lysine; aescinate*,Раствор для инъекций 5 мл N10 (2х5) (ампулы),Грузия,"Spey Medical Ltd, Великобритания произведено: Биополюс, ООО",Ангиопротекторное средство,C05CX,DV/X 10563/08/23,28/08/23,,по рецепту,,
8,"L- ЛИЗИНА ЭСЦИНАТ®
(L- Lysine aescinat)",L-lysine; aescinate*,Раствор для инъекций 1 мг/мл 5 мл N10 (2x5) (ампулы),Украина,"Галичфарм, ПАО",Вазопротектор. Капилляростабилизирующее средство,С05СХ,DV/X 03495/08/17,18.08.17 30.09.22,,по рецепту,,
9,"L- ТИРОКСИН-ФАРМАК®
(L-Thyroxinum)",levothyroxine sodium,"Таблетки 25 мкг, 50 мкг, 100 мкг N50 (5x10) (блистеры)",Украина,"Фармак, АО",Гормон щитовидной железы,H03AA01,DV/X 02787/03/17,06.03.17 13.04.22,,по рецепту,,
10,"L-ЦЕТ®
(L-SET)",levocetirizine dihydrochloride,"Сироп 2,5 мг/5 мл 60 мл,100 мл (флаконы)",Украина,"Гледфарм Лтд, ООО произведено: Кусум Фарм, ООО",Антиаллергическое средство,R06AE09,DV/X 10083/08/22,30/08/22,,без рецепта,,
11,"АБИТЕРА
(Abitera)",abiraterone,"Таблетки 250 мг N30, N60, N120 (банки); N30 (3х10), N60 (6х10) (упаковки контурные ячейковые)",Россия,"Фармасинтез -Норд, АО произведено: Фармасинтез, АО",Другие антагонисты гормонов и их прочие аналоги,L02BX03,DV/X 08525/01/21,08/01/21,,по рецепту,,
12,"АБИТЕРА
(Abitera)",abiraterone,"Таблетки 250 мг N30, N60, N120 (флаконы)",Россия,"Фармасинтез-Норд, АО",Другие антагонисты гормонов и их прочие аналоги,L02BX03,DV/X 10438/06/23,08/06/23,,по рецепту,,
13,"АВЕГРА®БИОКАД
(Avegra BIOCAD)",bevacizumab,"Концентрат для приготовления раствора для инфузий 25 мг/мл 4 мл, 16 мл N1 (флаконы)",Россия,"Биокад, АО",Противоопухолевое средство,L01XC07,DV/X 03036/06/17,06.06.17 20.09.22,,по рецепту,,
14,"АДЕНО- RITZ®
(Adeno Ritz)",comb.drug (extr. serenoa serrulata; extr. urtica urens; extr. pygeum africanum)*,Капсулы N60 (6x10) (блистеры),Грузия,"GM Pharmaceuticals Ltd, OOO","Средство, применяемое при заболеваниях простаты",G04CX,DV/X 03397/07/17,21.07.17 19.07.22,,без рецепта,,
