№ п.п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска
1,"AКСЕЛОН
(Аkselon)",lysine; aescine*,"Концентрат для приготовления раствора для инфузий 1 мг/мл 5 мл N5 (5х1), N10 (2х5) (ампулы)",Узбекистан,"Bayan Medical, ООО",Ангиопротекторное средство,С05СХ,DV/M 04688/08/24,27/08/24,введены изменения: 28.11.25,по рецепту
2,"EMOTROP-ASP
(Emotrop-ASP)",emoxypine*,"Раствор для инъекций 1% 5 мл N5 (1х5), N10 (2х5) (ампулы)",Узбекистан,"Aseptica, OOO","Средство, применяемое в офтальмологии",S01XA,DV/M 04175/06/22,29/06/22,введены изменения: 10.02.23,по рецепту
3,"L-АРГИНИН
(L-Arginin)",arginine,"Раствор для инфузий 4,2 % 100 мл, 250 мл (флаконы полипропиленовые)",Узбекистан,"River Med Pharm, OOO",Кровь и система кроветворения. Кровезаменитель и перфузионный раствор. Добавка к растворам для внутривенного введения. Аминокислоты. Аргинина гидрохлорид,B05BA01,DV/M 04956/05/25,30/05/25,,по рецепту
4,"L-аргинин-SEEM
(L-arginin-SEEM)",arginine,Раствор для инфузий 42 мг/мл 100 мл (флаконы полипропиленовые),Узбекистан,"Samarkand-England Eco-Medical, СП ООО",Кровезаменитель и перфузионный раствор. Добавка к растворам для внутривенного введения. Аминокислота. Аргинина гидрохлорид,В05ХВ01,DV/M 04805/02/25,22.02.25,введены изменения: 25.07.25,по рецепту
5,"L-АСПАГИН
(L-Aspagin)",comb.drug (potassium aspartate; magnesium aspartate),Раствор для инъекций 10 мл N5 (1х5); N10 (2x5; 1x10) (ампулы),Узбекистан,"Uzgermed Pharm, СП ООО",Минеральный препарат,A12CX,DV/M 01584/06/17,06.06.17 30.09.22,,по рецепту
6,"L-КАРТИН-SEEM
(L-Kartin-SEEM)",levocarnitine,Раствор для инфузий 20 мг/мл 100 мл (флаконы полипропиленовые),Узбекистан,"Samarkand England Eco-Medical, СП ООО",Пищеварительный тракт и обмен веществ. Другой препарат для лечения заболеваний желудочно-кишечного тракта и нарушений обмена веществ. Аминокислоты и их производные. Левокарнитин,A16AA01,DV/M 04958/05/25,30/05/25,,по рецепту
7,"L-ЛИЗИН ЭСЦИНАТ
(L-lizin Essinat)",comb.drug (aescinе; lysine),"Концентрат для приготовления инфузионного раствора 5 мл N5 (1х5), N10 (2х5) (ампулы)",Узбекистан,"Remedy Group, СП ООО","Ангиопротектор. Препарат, снижающий проницаемость капилляров. Другой препарат, снижающий проницаемость капилляров",C05CX,DV/M 04787/02/25,15/02/25,,по рецепту
8,"L-МАРИН
(L-Marin)",L-arginine hydochloride,"Раствор для инфузий 4,2% 100 мл (флаконы)",Узбекистан,"Samarkand-England Eco-Medical, СП ООО",Средство для лечения нарушений периферического кровообращения,B05ХВ01,DV/M 04433/05/23,18/05/23,,по рецепту
9,"L-САРУН
(L-Sarun)","aescine*, lysine","Раствор для инфузий 50 мл, 100 мл (бутылки стеклянные, флаконы стеклянные)",Узбекистан,"Temur Med Farm, OOO",Ангиопротекторное средство,С05СХ,DV/M 04489/06/23,22/06/23,введены изменения: 28.11.25,по рецепту
10,"L-ТИКАР
(L-Tikar)",levocarnitine,Раствор для инъекций 1 г/5 мл 5 мл N5 (1х5) (ампулы),Узбекистан,"Merrymed Farm, OOO",Средство для коррекции метаболических процессов,А06АА01,DV/M 04653/07/24,19/07/24,,по рецепту
